,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,0140105686,SYSC llc,2020-04-14 06:51:36.593750000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2573.766,0-15 Days
1,U001,0200744019,TARG us,2020-04-07 13:35:57.781250000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,0-15 Days
2,U001,0200418007,AM ,2020-03-29 08:22:39.906250000,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,0-15 Days
3,U001,0200739534,OK systems,2020-05-01 06:19:13.601562500,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,0-15 Days
4,U001,0200353024,DECA corporation,2020-04-22 20:16:22.875000000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,0-15 Days
5,U001,0200744019,TARG associates,2020-04-09 13:35:57.781250000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,0-15 Days
6,CA02,0140106408,WAL-M corp,2020-03-26 17:56:15.187500000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,72409.17060000001,0-15 Days
7,U001,0200337148,COAS llc,2020-03-16 17:03:01.902343750,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,0-15 Days
8,U001,0200794332,COST associates,2020-04-22 05:00:09.097656250,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,0-15 Days
9,U001,0200794332,COST llc,2020-05-08 05:00:09.097656250,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,0-15 Days
